GeoFips,City_Match,Cost_Of_Living_RPP,City_Label,Population,Median_Household_Income,High_Skill_Total,Real_Purchasing_Power,Education_Rate
42020,"San Luis Obispo-Paso Robles, CA",108.614,"San Luis Obispo-Paso Robles, CA",282771.0,82514.0,69920.0,75969.95,0.2473
42100,"Santa Cruz-Watsonville, CA",109.079,"Santa Cruz-Watsonville, CA",272138.0,96093.0,75398.0,88094.87,0.2771
42140,"Santa Fe, NM",93.231,"Santa Fe, NM",153632.0,64423.0,47367.0,69100.41,0.3083
42200,"Santa Maria-Santa Barbara, CA",111.805,"Santa Maria-Santa Barbara, CA",447651.0,84356.0,97636.0,75449.22,0.2181
42220,"Santa Rosa-Petaluma, CA",109.86,"Santa Rosa-Petaluma, CA",492498.0,91607.0,132345.0,83385.22,0.2687
42340,"Savannah, GA",95.415,"Savannah, GA",401541.0,64703.0,90331.0,67812.19,0.225
42540,"Scranton--Wilkes-Barre, PA",93.134,"Scranton--Wilkes-Barre, PA",566743.0,57568.0,104408.0,61812.01,0.1842
42660,"Seattle-Tacoma-Bellevue, WA",114.481,"Seattle-Tacoma-Bellevue, WA",3971125.0,97675.0,1239206.0,85319.83,0.3121
42680,"Sebastian-Vero Beach-West Vero Corridor, FL",98.097,"Sebastian-Vero Beach, FL",158002.0,61594.0,39249.0,62788.87,0.2484
42700,"Sebring, FL",89.858,"Sebring-Avon Park, FL",101174.0,46895.0,14640.0,52187.9,0.1447
43100,"Sheboygan, WI",93.265,"Sheboygan, WI",117528.0,65352.0,21468.0,70071.3,0.1827
43300,"Sherman-Denison, TX",92.835,"Sherman-Denison, TX",134205.0,62078.0,19682.0,66869.18,0.1467
43340,"Shreveport-Bossier City, LA",90.471,"Shreveport-Bossier City, LA",395086.0,47729.0,64553.0,52756.13,0.1634
43420,"Sierra Vista-Douglas, AZ",87.709,"Sierra Vista-Douglas, AZ",125092.0,55077.0,22569.0,62795.15,0.1804
43580,"Sioux City, IA-NE-SD",90.239,"Sioux City, IA-NE-SD",148442.0,64438.0,22117.0,71408.15,0.149
43620,"Sioux Falls, SD-MN",92.997,"Sioux Falls, SD",272414.0,72547.0,62366.0,78010.04,0.2289
43780,"South Bend-Mishawaka, IN-MI",91.691,"South Bend-Mishawaka, IN-MI",323681.0,58996.0,64767.0,64342.19,0.2001
43900,"Spartanburg, SC",92.188,"Spartanburg, SC",322864.0,57627.0,54415.0,62510.31,0.1685
44060,"Spokane-Spokane Valley, WA",98.677,"Spokane-Spokane Valley, WA",577534.0,63524.0,121924.0,64375.69,0.2111
44100,"Springfield, IL",91.616,"Springfield, IL",209102.0,66999.0,48662.0,73130.24,0.2327
44140,"Springfield, MA",97.66,"Springfield, MA",699160.0,64659.0,161162.0,66208.27,0.2305
44180,"Springfield, MO",89.103,"Springfield, MO",472164.0,53827.0,91163.0,60409.86,0.1931
44220,"Springfield, OH",86.832,"Springfield, OH",136032.0,54869.0,17544.0,63189.84,0.129
44300,"State College, PA",95.572,"State College, PA",158879.0,64995.0,44952.0,68006.32,0.2829
44420,"Staunton-Stuarts Draft, VA",92.75,"Staunton, VA",124455.0,61397.0,22648.0,66196.23,0.182
44700,"Stockton-Lodi, CA",104.599,"Stockton, CA",771406.0,74962.0,95083.0,71666.08,0.1233
44940,"Sumter, SC",86.387,"Sumter, SC",137150.0,48423.0,19121.0,56053.57,0.1394
45060,"Syracuse, NY",96.263,"Syracuse, NY",661106.0,65112.0,147689.0,67639.7,0.2234
45220,"Tallahassee, FL",94.872,"Tallahassee, FL",382747.0,56304.0,95320.0,59347.33,0.249
45300,"Tampa-St. Petersburg-Clearwater, FL",98.777,"Tampa-St. Petersburg-Clearwater, FL",3146074.0,61121.0,738582.0,61877.77,0.2348
45460,"Terre Haute, IN",87.295,"Terre Haute, IN",185527.0,51531.0,25421.0,59030.87,0.137
45500,"Texarkana, TX-AR",87.839,"Texarkana, TX-AR",147936.0,52262.0,20637.0,59497.49,0.1395
45780,"Toledo, OH",90.088,"Toledo, OH",646330.0,57312.0,123733.0,63617.8,0.1914
45820,"Topeka, KS",89.34,"Topeka, KS",233423.0,61574.0,47853.0,68920.98,0.205
45900,"Traverse City, MI",93.407,"Traverse City, MI",152552.0,67769.0,40950.0,72552.38,0.2684
45940,"Trenton-Princeton, NJ",101.899,"Trenton-Princeton, NJ",384951.0,85687.0,113117.0,84090.13,0.2938
46060,"Tucson, AZ",92.758,"Tucson, AZ",1035063.0,59215.0,240377.0,63838.16,0.2322
46140,"Tulsa, OK",91.68,"Tulsa, OK",1009982.0,60866.0,193432.0,66389.62,0.1915
46220,"Tuscaloosa, AL",88.002,"Tuscaloosa, AL",265855.0,54449.0,47236.0,61872.46,0.1777
46300,"Twin Falls, ID",89.741,"Twin Falls, ID",113209.0,57953.0,15389.0,64578.06,0.1359
46340,"Tyler, TX",94.502,"Tyler, TX",231429.0,62518.0,42515.0,66155.21,0.1837
46520,"Urban Honolulu, HI",114.067,"Urban Honolulu, HI",1015167.0,92600.0,256030.0,81180.36,0.2522
46540,"Utica-Rome, NY",92.466,"Utica-Rome, NY",292630.0,61452.0,51325.0,66459.02,0.1754
46660,"Valdosta, GA",88.215,"Valdosta, GA",147256.0,46092.0,21677.0,52249.62,0.1472
46700,"Vallejo, CA",109.395,"Vallejo, CA",451432.0,89648.0,86981.0,81948.9,0.1927
47020,"Victoria, TX",91.711,"Victoria, TX",98365.0,60419.0,12472.0,65879.77,0.1268
47220,"Vineland, NJ",96.536,"Vineland-Bridgeton, NJ",154921.0,58397.0,17858.0,60492.46,0.1153
47260,"Virginia Beach-Chesapeake-Norfolk, VA-NC",97.868,"Virginia Beach-Norfolk-Newport News, VA-NC",1791198.0,71612.0,407791.0,73172.03,0.2277
47300,"Visalia, CA",98.919,"Visalia, CA",470999.0,57394.0,42332.0,58021.21,0.0899
47380,"Waco, TX",94.064,"Waco, TX",275105.0,52836.0,42898.0,56170.27,0.1559
47460,"Walla Walla, WA",99.103,"Walla Walla, WA",62168.0,63686.0,11609.0,64262.43,0.1867
47580,"Warner Robins, GA",91.966,"Warner Robins, GA",188999.0,67027.0,36911.0,72882.37,0.1953
47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",111.564,"Washington-Arlington-Alexandria, DC-VA-MD-WV",6332069.0,111252.0,2268504.0,99720.34,0.3583
47940,"Waterloo-Cedar Falls, IA",89.126,"Waterloo-Cedar Falls, IA",168595.0,61632.0,32428.0,69151.54,0.1923
48060,"Watertown-Fort Drum, NY",93.705,"Watertown-Fort Drum, NY",117634.0,58271.0,18194.0,62185.58,0.1547
48140,"Wausau, WI",91.15,"Wausau-Weston, WI",165975.0,66703.0,29439.0,73179.37,0.1774
48260,"Weirton-Steubenville, WV-OH",89.236,"Weirton-Steubenville, WV-OH",117446.0,50495.0,15716.0,56585.91,0.1338
48300,"Wenatchee-East Wenatchee, WA",103.043,"Wenatchee, WA",121130.0,66663.0,21302.0,64694.35,0.1759
48540,"Wheeling, WV-OH",89.361,"Wheeling, WV-OH",140333.0,53169.0,22245.0,59499.11,0.1585
48620,"Wichita, KS",90.988,"Wichita, KS",644480.0,61445.0,131002.0,67530.88,0.2033
48660,"Wichita Falls, TX",90.712,"Wichita Falls, TX",148271.0,55051.0,22205.0,60687.67,0.1498
